calendar_date,is_trading_day
2021/1/1,0
2021/1/2,0
2021/1/3,0
2021/1/4,1
2021/1/5,1
2021/1/6,1
2021/1/7,1
2021/1/8,1
2021/1/9,0
2021/1/10,0
2021/1/11,1
2021/1/12,1
2021/1/13,1
2021/1/14,1
2021/1/15,1
2021/1/16,0
2021/1/17,0
2021/1/18,1
2021/1/19,1
2021/1/20,1
2021/1/21,1
2021/1/22,1
2021/1/23,0
2021/1/24,0
2021/1/25,1
2021/1/26,1
2021/1/27,1
2021/1/28,1
2021/1/29,1
2021/1/30,0
2021/1/31,0
2021/2/1,1
2021/2/2,1
2021/2/3,1
2021/2/4,1
2021/2/5,1
2021/2/6,0
2021/2/7,0
2021/2/8,1
2021/2/9,1
2021/2/10,1
2021/2/11,0
2021/2/12,0
2021/2/13,0
2021/2/14,0
2021/2/15,0
2021/2/16,0
2021/2/17,0
2021/2/18,1
2021/2/19,1
2021/2/20,0
2021/2/21,0
2021/2/22,1
2021/2/23,1
2021/2/24,1
2021/2/25,1
2021/2/26,1
2021/2/27,0
2021/2/28,0
2021/3/1,1
2021/3/2,1
2021/3/3,1
2021/3/4,1
2021/3/5,1
2021/3/6,0
2021/3/7,0
2021/3/8,1
2021/3/9,1
2021/3/10,1
2021/3/11,1
2021/3/12,1
2021/3/13,0
2021/3/14,0
2021/3/15,1
2021/3/16,1
2021/3/17,1
2021/3/18,1
2021/3/19,1
2021/3/20,0
2021/3/21,0
2021/3/22,1
2021/3/23,1
2021/3/24,1
2021/3/25,1
2021/3/26,1
2021/3/27,0
2021/3/28,0
2021/3/29,1
2021/3/30,1
2021/3/31,1
2021/4/1,1
2021/4/2,1
2021/4/3,0
2021/4/4,0
2021/4/5,0
2021/4/6,1
2021/4/7,1
2021/4/8,1
2021/4/9,1
2021/4/10,0
2021/4/11,0
2021/4/12,1
2021/4/13,1
2021/4/14,1
2021/4/15,1
2021/4/16,1
2021/4/17,0
2021/4/18,0
2021/4/19,1
2021/4/20,1
2021/4/21,1
2021/4/22,1
2021/4/23,1
2021/4/24,0
2021/4/25,0
2021/4/26,1
2021/4/27,1
2021/4/28,1
2021/4/29,1
2021/4/30,1
2021/5/1,0
2021/5/2,0
2021/5/3,0
2021/5/4,0
2021/5/5,0
2021/5/6,1
2021/5/7,1
2021/5/8,0
2021/5/9,0
2021/5/10,1
2021/5/11,1
2021/5/12,1
2021/5/13,1
2021/5/14,1
2021/5/15,0
2021/5/16,0
2021/5/17,1
2021/5/18,1
2021/5/19,1
2021/5/20,1
2021/5/21,1
2021/5/22,0
2021/5/23,0
2021/5/24,1
2021/5/25,1
2021/5/26,1
2021/5/27,1
2021/5/28,1
2021/5/29,0
2021/5/30,0
2021/5/31,1
2021/6/1,1
2021/6/2,1
2021/6/3,1
2021/6/4,1
2021/6/5,0
2021/6/6,0
2021/6/7,1
2021/6/8,1
2021/6/9,1
2021/6/10,1
2021/6/11,1
2021/6/12,0
2021/6/13,0
2021/6/14,0
2021/6/15,1
2021/6/16,1
2021/6/17,1
2021/6/18,1
2021/6/19,0
2021/6/20,0
2021/6/21,1
2021/6/22,1
2021/6/23,1
2021/6/24,1
2021/6/25,1
2021/6/26,0
2021/6/27,0
2021/6/28,1
2021/6/29,1
2021/6/30,1
2021/7/1,1
2021/7/2,1
2021/7/3,0
2021/7/4,0
2021/7/5,1
2021/7/6,1
2021/7/7,1
2021/7/8,1
2021/7/9,1
2021/7/10,0
2021/7/11,0
2021/7/12,1
2021/7/13,1
2021/7/14,1
2021/7/15,1
2021/7/16,1
2021/7/17,0
2021/7/18,0
2021/7/19,1
2021/7/20,1
2021/7/21,1
2021/7/22,1
2021/7/23,1
2021/7/24,0
2021/7/25,0
2021/7/26,1
2021/7/27,1
2021/7/28,1
2021/7/29,1
2021/7/30,1
2021/7/31,0
2021/8/1,0
2021/8/2,1
2021/8/3,1
2021/8/4,1
2021/8/5,1
2021/8/6,1
2021/8/7,0
2021/8/8,0
2021/8/9,1
2021/8/10,1
2021/8/11,1
2021/8/12,1
2021/8/13,1
2021/8/14,0
2021/8/15,0
2021/8/16,1
2021/8/17,1
2021/8/18,1
2021/8/19,1
2021/8/20,1
2021/8/21,0
2021/8/22,0
2021/8/23,1
2021/8/24,1
2021/8/25,1
2021/8/26,1
2021/8/27,1
2021/8/28,0
2021/8/29,0
2021/8/30,1
2021/8/31,1
2021/9/1,1
2021/9/2,1
2021/9/3,1
2021/9/4,0
2021/9/5,0
2021/9/6,1
2021/9/7,1
2021/9/8,1
2021/9/9,1
2021/9/10,1
2021/9/11,0
2021/9/12,0
2021/9/13,1
2021/9/14,1
2021/9/15,1
2021/9/16,1
2021/9/17,1
2021/9/18,0
2021/9/19,0
2021/9/20,0
2021/9/21,0
2021/9/22,1
2021/9/23,1
2021/9/24,1
2021/9/25,0
2021/9/26,0
2021/9/27,1
2021/9/28,1
2021/9/29,1
2021/9/30,1
2021/10/1,0
2021/10/2,0
2021/10/3,0
2021/10/4,0
2021/10/5,0
2021/10/6,0
2021/10/7,0
2021/10/8,1
2021/10/9,0
2021/10/10,0
2021/10/11,1
2021/10/12,1
2021/10/13,1
2021/10/14,1
2021/10/15,1
2021/10/16,0
2021/10/17,0
2021/10/18,1
2021/10/19,1
2021/10/20,1
2021/10/21,1
2021/10/22,1
2021/10/23,0
2021/10/24,0
2021/10/25,1
2021/10/26,1
2021/10/27,1
2021/10/28,1
2021/10/29,1
2021/10/30,0
2021/10/31,0
2021/11/1,1
2021/11/2,1
2021/11/3,1
2021/11/4,1
2021/11/5,1
2021/11/6,0
2021/11/7,0
2021/11/8,1
2021/11/9,1
2021/11/10,1
2021/11/11,1
2021/11/12,1
2021/11/13,0
2021/11/14,0
2021/11/15,1
2021/11/16,1
2021/11/17,1
2021/11/18,1
2021/11/19,1
2021/11/20,0
2021/11/21,0
2021/11/22,1
2021/11/23,1
2021/11/24,1
2021/11/25,1
2021/11/26,1
2021/11/27,0
2021/11/28,0
2021/11/29,1
2021/11/30,1
2021/12/1,1
2021/12/2,1
2021/12/3,1
2021/12/4,0
2021/12/5,0
2021/12/6,1
2021/12/7,1
2021/12/8,1
2021/12/9,1
2021/12/10,1
2021/12/11,0
2021/12/12,0
2021/12/13,1
2021/12/14,1
2021/12/15,1
2021/12/16,1
2021/12/17,1
2021/12/18,0
2021/12/19,0
2021/12/20,1
2021/12/21,1
2021/12/22,1
2021/12/23,1
2021/12/24,1
2021/12/25,0
2021/12/26,0
2021/12/27,1
2021/12/28,1
2021/12/29,1
2021/12/30,1
2021/12/31,1
